Klaus | 500,000 € | Market | 2026-09-26 16:21:31
Adamu | 4,384,630 € | Market | 2026-09-26 18:36:10
Sirch | 901,002 € | Market | 2026-09-26 23:02:12
Lerma | 500,000 € | Market | 2026-09-27 00:50:57
Siebeking | 500,000 € | Market | 2026-09-27 03:37:06
Wójcik | 2,657,476 € | Market | 2026-09-27 05:54:40
Funk | 500,000 € | Market | 2026-09-27 06:05:27
Stöger | 4,014,899 € | Market | 2026-09-27 06:46:06
Lienhart | 16,552,102 € | Market | 2026-09-27 10:49:24
Ulrich | 6,463,090 € | Market | 2026-09-27 11:38:16
Vázquez | 3,418,852 € | Market | 2026-09-27 13:20:03
Krauß | 8,275,666 € | Market | 2026-09-27 14:09:11
Vidović | 4,910,620 € | Market | 2026-09-27 19:38:55
Al Dakhil | 4,883,445 € | Market | 2026-09-27 21:23:47
Heskey | 1,175,198 € | Market | 2026-09-27 21:37:32
Rothe | 10,183,539 € | Market | 2026-09-27 22:01:28
Bah | 2,707,623 € | Market | 2026-09-28 02:12:11
Backhaus | 14,120,713 € | Market | 2026-09-28 04:00:38
Ljubičić | 2,759,535 € | Market | 2026-09-28 11:25:51
Chandler | 4,037,352 € | Robinho | Kein Ablaufdatum
Henrichs | 7,553,464 € | Sascha187 | Kein Ablaufdatum
Bülter | 6,818,720 € | Braunbär7 | Kein Ablaufdatum
Silas | 3,399,366 € | CoachLeisi | Kein Ablaufdatum
Atubolu | 14,612,186 € | Robinho | Kein Ablaufdatum
Tiago Tomás | 6,422,758 € | Braunbär7 | Kein Ablaufdatum
Kömür | 6,190,852 € | CoachLeisi | Kein Ablaufdatum
Pinckert | 12,031,468 € | Vanilleeis23 | Kein Ablaufdatum
Fellhauer | 9,898,172 € | Braunbär7 | Kein Ablaufdatum
Amoako | 3,029,674 € | Robinho | Kein Ablaufdatum
Gantenbein | 3,034,493 € | Robinho | Kein Ablaufdatum
Sambi Lokonga | 8,301,670 € | CoachLeisi | Kein Ablaufdatum
Awortwie-Grant | 500,000 € | Sascha187 | Kein Ablaufdatum
Lidberg | 6,552,457 € | Robinho | Kein Ablaufdatum
Lenz | 2,321,450 € | Braunbär7 | Kein Ablaufdatum
Vozar | 3,164,492 € | Joel | Kein Ablaufdatum
Arrhov | 2,564,434 € | Vanilleeis23 | Kein Ablaufdatum
Simpson-Pusey | 11,039,583 € | Vanilleeis23 | Kein Ablaufdatum
Ruoppi | 4,553,790 € | CoachLeisi | Kein Ablaufdatum
Quetant | 2,453,908 € | Robinho | Kein Ablaufdatum
Gadou | 20,603,174 € | Joel | Kein Ablaufdatum
Hashioka | 5,837,589 € | CoachLeisi | Kein Ablaufdatum
